Year,Country,Flow Label,Direction Label,FDI_Current,FDI_Percentage
2021,Benin,Stock,Outward,349.428,0.000828
2022,Sub-Saharan Africa,Flow,Inward,39365.377,2.833009
2022,Sub-Saharan Africa,Flow,Outward,2787.746,0.17772
2022,Sub-Saharan Africa,Stock,Inward,704092.746,1.609959
2022,Sub-Saharan Africa,Stock,Outward,256110.804,0.648503
2022,Western Africa,Flow,Inward,13028.746,0.93764
2022,Western Africa,Flow,Outward,-2352.439,-0.149969
2022,Western Africa,Stock,Inward,210515.248,0.481358
2022,Western Africa,Stock,Outward,31167.91,0.078921
2022,Benin,Flow,Inward,375.989,0.027059
2022,Benin,Flow,Outward,46.57,0.002969
2022,Benin,Stock,Inward,3153.862,0.007212
2022,Benin,Stock,Outward,376.236,0.000953
2023,Sub-Saharan Africa,Flow,Inward,41983.022,2.885478
2023,Sub-Saharan Africa,Flow,Outward,-1381.152,-0.088757
2023,Sub-Saharan Africa,Stock,Inward,675181.906,1.403774
2023,Sub-Saharan Africa,Stock,Outward,199055.287,0.467303
2023,Western Africa,Flow,Inward,16330.078,1.12236
2023,Western Africa,Flow,Outward,444.098,0.028539
2023,Western Africa,Stock,Inward,215675.705,0.448413
2023,Western Africa,Stock,Outward,30659.145,0.071976
2023,Benin,Flow,Inward,442.96,0.030444
2023,Benin,Flow,Outward,13.01,0.000836
2023,Benin,Stock,Inward,3720.09,0.007734
2023,Benin,Stock,Outward,403.076,0.000946
2024,Sub-Saharan Africa,Flow,Inward,46440.369,3.07796
2024,Sub-Saharan Africa,Flow,Outward,1203.15,0.074782
2024,Sub-Saharan Africa,Stock,Inward,709421.589,1.393554
2024,Sub-Saharan Africa,Stock,Outward,199368.95,0.457321
2024,Western Africa,Flow,Inward,15214.391,1.008375
2024,Western Africa,Flow,Outward,450.731,0.028015
2024,Western Africa,Stock,Inward,219704.166,0.431576
2024,Western Africa,Stock,Outward,31795.424,0.072934
2024,Benin,Flow,Inward,543.007,0.035989
2024,Benin,Flow,Outward,60.283,0.003747
2024,Benin,Stock,Inward,4019.022,0.007895
2024,Benin,Stock,Outward,436.856,0.001002
